iterations cor_combined variables
1000 -0.276190476190476 mae
2000 -0.180952380952381 mae
3000 -0.238095238095238 mae
4000 0.00952380952380952 mae
5000 -0.180952380952381 mae
6000 0.104761904761905 mae
7000 -0.0476190476190476 mae
8000 -0.0476190476190476 mae
9000 -0.00952380952380952 mae
10000 -0.104761904761905 mae
1000 -0.333333333333333 r
2000 -0.314285714285714 r
3000 -0.238095238095238 r
4000 -0.2 r
5000 -0.276190476190476 r
6000 -0.0476190476190476 r
7000 -0.0285714285714286 r
8000 -0.180952380952381 r
9000 -0.142857142857143 r
10000 -0.219047619047619 r
1000 0.276190476190476 rho
2000 -0.0666666666666667 rho
3000 0.0857142857142857 rho
4000 0.257142857142857 rho
5000 0.276190476190476 rho
6000 0.123809523809524 rho
7000 0.0857142857142857 rho
8000 0.0666666666666667 rho
9000 0.333333333333333 rho
10000 0.0476190476190476 rho
1000 -0.238095238095238 rmse
2000 -0.2 rmse
3000 -0.2 rmse
4000 -0.00952380952380952 rmse
5000 -0.104761904761905 rmse
6000 0.0857142857142857 rmse
7000 -0.0666666666666667 rmse
8000 -0.0285714285714286 rmse
9000 0.00952380952380952 rmse
10000 -0.0857142857142857 rmse
1000 0.238095238095238 tau
2000 0.00952380952380952 tau
3000 0.0857142857142857 tau
4000 0.295238095238095 tau
5000 0.352380952380952 tau
6000 0.238095238095238 tau
7000 0.161904761904762 tau
8000 0.295238095238095 tau
9000 0.382779501175476 tau
10000 0.142857142857143 tau
