iters cors rmsds mean_rmsd id
91 1000 0.466666666666667 0 0.662 1UUU
92 2000 0.485714285714286 0.734 0.662 1UUU
93 3000 0.466666666666667 0 0.662 1UUU
94 4000 0.466666666666667 0 0.662 1UUU
95 5000 0.466666666666667 0 0.662 1UUU
96 6000 0.466666666666667 0 0.662 1UUU
97 7000 0.466666666666667 0.734 0.662 1UUU
98 8000 0.466666666666667 0.734 0.662 1UUU
99 9000 0.466666666666667 0.734 0.662 1UUU
100 10000 0.447619047619048 0.734 0.662 1UUU
311 1000 0.542857142857143 0.917 1.34233333333333 1PJY
312 2000 0.504761904761905 0.917 1.34233333333333 1PJY
313 3000 0.523809523809524 0.917 1.34233333333333 1PJY
314 4000 0.542857142857143 0.917 1.34233333333333 1PJY
315 5000 0.504761904761905 0.917 1.34233333333333 1PJY
316 6000 0.504761904761905 0.917 1.34233333333333 1PJY
317 7000 0.504761904761905 0.917 1.34233333333333 1PJY
318 8000 0.504761904761905 0.917 1.34233333333333 1PJY
319 9000 0.542857142857143 0.917 1.34233333333333 1PJY
320 10000 0.542857142857143 0.917 1.34233333333333 1PJY
361 1000 0.6 7.179 2.73933333333333 1R7W
362 2000 0.638095238095238 7.179 2.73933333333333 1R7W
363 3000 0.619047619047619 7.179 2.73933333333333 1R7W
364 4000 0.6 7.179 2.73933333333333 1R7W
365 5000 0.542857142857143 7.179 2.73933333333333 1R7W
366 6000 0.6 7.179 2.73933333333333 1R7W
367 7000 0.657142857142857 7.179 2.73933333333333 1R7W
368 8000 0.619047619047619 7.179 2.73933333333333 1R7W
369 9000 0.619047619047619 7.179 2.73933333333333 1R7W
370 10000 0.619047619047619 7.179 2.73933333333333 1R7W
401 1000 0.390476190476191 0 2.47266666666667 1LC6
402 2000 0.371428571428571 5.938 2.47266666666667 1LC6
403 3000 0.352380952380952 5.938 2.47266666666667 1LC6
404 4000 0.352380952380952 5.938 3.21366666666667 1LC6
405 5000 0.371428571428571 5.938 2.47266666666667 1LC6
406 6000 0.371428571428571 5.938 2.47266666666667 1LC6
407 7000 0.352380952380952 5.938 2.47266666666667 1LC6
408 8000 0.390476190476191 5.938 2.47266666666667 1LC6
409 9000 0.371428571428571 1.48 3.21366666666667 1LC6
410 10000 0.333333333333333 1.48 3.21366666666667 1LC6
461 1000 0.676190476190476 2.446 1.35866666666667 1LDZ
462 2000 0.695238095238095 0 1.35866666666667 1LDZ
463 3000 0.638095238095238 2.446 1.35866666666667 1LDZ
464 4000 0.676190476190476 0 1.35866666666667 1LDZ
465 5000 0.695238095238095 0 1.35866666666667 1LDZ
466 6000 0.676190476190476 0 1.35866666666667 1LDZ
467 7000 0.676190476190476 0 1.35866666666667 1LDZ
468 8000 0.676190476190476 0 1.35866666666667 1LDZ
469 9000 0.676190476190476 0 1.35866666666667 1LDZ
470 10000 0.676190476190476 0 1.35866666666667 1LDZ
471 1000 0.257142857142857 4.354 2.66033333333333 2LDL
472 2000 0.333333333333333 4.354 3.42466666666667 2LDL
473 3000 0.314285714285714 5.92 3.18233333333333 2LDL
474 4000 0.219047619047619 5.92 3.18233333333333 2LDL
475 5000 0.276190476190476 5.92 2.69833333333333 2LDL
476 6000 0.333333333333333 2.175 3.18233333333333 2LDL
477 7000 0.314285714285714 5.92 3.18233333333333 2LDL
478 8000 0.295238095238095 2.175 5.11833333333333 2LDL
479 9000 0.333333333333333 2.175 4.397 2LDL
480 10000 0.333333333333333 2.175 3.18233333333333 2LDL
491 1000 0.371428571428571 5.729 3.14733333333333 1NC0
492 2000 0.466666666666667 5.729 2.90733333333333 1NC0
493 3000 0.466666666666667 5.729 2.90733333333333 1NC0
494 4000 0.428571428571429 5.729 2.90733333333333 1NC0
495 5000 0.466666666666667 5.729 3.14733333333333 1NC0
496 6000 0.352380952380952 5.729 3.14733333333333 1NC0
497 7000 0.352380952380952 5.729 3.14733333333333 1NC0
498 8000 0.352380952380952 5.729 3.14733333333333 1NC0
499 9000 0.390476190476191 5.729 3.14733333333333 1NC0
500 10000 0.371428571428571 5.729 3.14733333333333 1NC0
511 1000 0.714285714285714 0 0.74 1OW9
512 2000 0.657142857142857 0 0.74 1OW9
513 3000 0.695238095238095 0 0.74 1OW9
514 4000 0.714285714285714 0 0.74 1OW9
515 5000 0.752380952380952 0 0.74 1OW9
516 6000 0.695238095238095 0 0.74 1OW9
517 7000 0.714285714285714 0 0.74 1OW9
518 8000 0.695238095238095 0 0.74 1OW9
519 9000 0.695238095238095 0 0.74 1OW9
520 10000 0.695238095238095 0 0.74 1OW9
521 1000 0.40952380952381 6.951 4.62033333333333 1YSV
522 2000 0.504761904761905 1.536 3.332 1YSV
523 3000 0.523809523809524 1.536 3.332 1YSV
524 4000 0.561904761904762 1.536 3.332 1YSV
525 5000 0.580952380952381 1.536 3.332 1YSV
526 6000 0.523809523809524 3.086 3.332 1YSV
527 7000 0.523809523809524 1.536 3.332 1YSV
528 8000 0.542857142857143 1.536 3.332 1YSV
529 9000 0.542857142857143 1.536 3.332 1YSV
530 10000 0.523809523809524 1.536 3.332 1YSV
531 1000 0.676190476190476 1.013 0.506333333333333 2KOC
532 2000 0.657142857142857 1.013 0.506333333333333 2KOC
533 3000 0.657142857142857 1.013 0.506333333333333 2KOC
534 4000 0.695238095238095 1.013 0.506333333333333 2KOC
535 5000 0.619047619047619 1.013 0.506333333333333 2KOC
536 6000 0.619047619047619 1.013 0.506333333333333 2KOC
537 7000 0.6 1.013 0.506333333333333 2KOC
538 8000 0.619047619047619 1.013 0.506333333333333 2KOC
539 9000 0.6 1.013 0.506333333333333 2KOC
540 10000 0.6 1.013 0.506333333333333 2KOC
571 1000 0.0666666666666667 0 4.21733333333333 1Z2J
572 2000 0.295238095238095 0 5.87233333333333 1Z2J
573 3000 0.180952380952381 0 5.87233333333333 1Z2J
574 4000 0.238095238095238 1.023 4.85433333333333 1Z2J
575 5000 0.447619047619048 0 2.15 1Z2J
576 6000 -0.00952380952380952 5.427 5.83266666666667 1Z2J
577 7000 0.142857142857143 0 4.51333333333333 1Z2J
578 8000 0.352380952380952 0 2.15 1Z2J
579 9000 0.276190476190476 0 2.15 1Z2J
580 10000 0.276190476190476 1.023 2.15 1Z2J
581 1000 0.802197802197802 0 1.45 2L3E
582 2000 0.78021978021978 2.56 1.76333333333333 2L3E
583 3000 0.802197802197802 2.56 1.16666666666667 2L3E
584 4000 0.758241758241758 2.56 1.76333333333333 2L3E
585 5000 0.736263736263736 0.94 1.76333333333333 2L3E
586 6000 0.714285714285714 1.79 1.76333333333333 2L3E
587 7000 0.692307692307692 2.56 1.76333333333333 2L3E
588 8000 0.736263736263736 1.79 1.76333333333333 2L3E
589 9000 0.736263736263736 1.79 1.76333333333333 2L3E
590 10000 0.736263736263736 1.79 1.76333333333333 2L3E
