iters cors rmsds mean_rmsd id
463 3000 0.219047619047619 7.354 4.15533333333333 1LDZ
464 4000 0.0857142857142857 7.354 5.51433333333333 1LDZ
465 5000 0.123809523809524 7.354 7.11533333333333 1LDZ
466 6000 0.161904761904762 7.354 5.51433333333333 1LDZ
467 7000 0.219047619047619 7.354 5.51433333333333 1LDZ
468 8000 0.123809523809524 7.354 4.72033333333333 1LDZ
469 9000 0.180952380952381 7.354 6.55033333333333 1LDZ
470 10000 0.2 7.354 6.55033333333333 1LDZ
471 1000 -0.180952380952381 4.354 6.772 2LDL
472 2000 -0.142857142857143 4.354 4.59633333333333 2LDL
473 3000 -0.123809523809524 2.175 3.629 2LDL
474 4000 -0.0476190476190476 2.175 3.88333333333333 2LDL
475 5000 -0.00952380952380952 2.175 3.629 2LDL
476 6000 0.00952380952380952 1.452 3.629 2LDL
477 7000 -0.2 1.452 3.629 2LDL
478 8000 -0.219047619047619 7.26 6.52933333333333 2LDL
479 9000 -0.104761904761905 7.26 4.84366666666667 2LDL
480 10000 -0.2 7.26 3.629 2LDL
491 1000 -0.180952380952381 7.903 6.69366666666667 1NC0
492 2000 -0.0857142857142857 3.581 7.19 1NC0
493 3000 0.0857142857142857 2.148 5.27166666666667 1NC0
494 4000 0.104761904761905 5.03 5.027 1NC0
495 5000 0.0476190476190476 2.148 6.71233333333333 1NC0
496 6000 -0.0574169251763215 7.903 6.71233333333333 1NC0
497 7000 0.104761904761905 7.903 5.027 1NC0
498 8000 -0.0285714285714286 10.086 5.75466666666667 1NC0
499 9000 -0.0666666666666667 10.086 5.75466666666667 1NC0
500 10000 -0.0857142857142857 5.03 5.75466666666667 1NC0
511 1000 0.257142857142857 4.796 5.23833333333333 1OW9
512 2000 0.466666666666667 0 1.391 1OW9
513 3000 0.390476190476191 0 1.39666666666667 1OW9
514 4000 0.40952380952381 0 1.16433333333333 1OW9
515 5000 0.371428571428571 3.42 3.63966666666667 1OW9
516 6000 0.447619047619048 0 1.39666666666667 1OW9
517 7000 0.40952380952381 0 1.85533333333333 1OW9
518 8000 0.40952380952381 0 1.39666666666667 1OW9
519 9000 0.504761904761905 0 0.74 1OW9
520 10000 0.428571428571429 0 1.85533333333333 1OW9
521 1000 -0.0857142857142857 6.951 6.414 1YSV
522 2000 -0.123809523809524 4.615 6.92533333333333 1YSV
523 3000 -0.123809523809524 4.615 6.92533333333333 1YSV
524 4000 -0.0666666666666667 6.951 5.64666666666667 1YSV
525 5000 -0.123809523809524 6.951 7.704 1YSV
526 6000 -0.104761904761905 6.951 7.451 1YSV
527 7000 -0.2 6.951 5.64666666666667 1YSV
528 8000 -0.0285714285714286 6.951 5.64666666666667 1YSV
529 9000 -0.180952380952381 6.951 7.451 1YSV
530 10000 -0.142857142857143 6.951 5.14066666666667 1YSV
531 1000 0.104761904761905 2.473 1.82166666666667 2KOC
532 2000 0.219047619047619 3.992 2.32366666666667 2KOC
533 3000 0.314285714285714 1.979 2.328 2KOC
534 4000 0.295238095238095 1.013 2.49266666666667 2KOC
535 5000 0.352380952380952 1.013 1.82166666666667 2KOC
536 6000 0.314285714285714 1.013 2.186 2KOC
537 7000 0.219047619047619 1.013 2.186 2KOC
538 8000 0.180952380952381 1.013 2.677 2KOC
539 9000 0.295238095238095 1.013 2.186 2KOC
540 10000 0.2 1.013 2.186 2KOC
571 1000 -0.219047619047619 7.225 6.78733333333333 1Z2J
572 2000 -0.352380952380952 3.958 8.08733333333333 1Z2J
573 3000 -0.257142857142857 3.958 7.45833333333333 1Z2J
574 4000 -0.180952380952381 3.958 5.75766666666667 1Z2J
575 5000 0.161904761904762 0 3.34933333333333 1Z2J
576 6000 -0.276190476190476 6.09 6.409 1Z2J
577 7000 -0.219047619047619 3.958 5.73033333333333 1Z2J
578 8000 0.0285714285714286 3.958 8.08733333333333 1Z2J
579 9000 -0.0857142857142857 3.958 6.39833333333333 1Z2J
580 10000 0.0857142857142857 3.958 8.08733333333333 1Z2J
581 1000 0.164835164835165 7.745 8.13066666666667 2L3E
582 2000 0.164835164835165 7.745 5.27833333333333 2L3E
583 3000 0.164835164835165 7.745 5.27833333333333 2L3E
584 4000 0.296703296703297 7.745 4.425 2L3E
585 5000 0.318681318681319 5.53 4.425 2L3E
586 6000 0.142857142857143 5.53 8.13066666666667 2L3E
587 7000 0.142857142857143 7.745 4.425 2L3E
588 8000 0.142857142857143 7.745 8.13066666666667 2L3E
589 9000 0.120879120879121 7.745 5.27833333333333 2L3E
590 10000 0.252747252747253 7.745 5.27833333333333 2L3E
