iters cors rmsds mean_rmsd id
91 1000 0.561904761904762 0 1.28633333333333 1UUU
92 2000 0.523809523809524 0 1.28633333333333 1UUU
93 3000 0.523809523809524 0 1.28633333333333 1UUU
94 4000 0.542857142857143 0 1.28633333333333 1UUU
95 5000 0.561904761904762 0 1.28633333333333 1UUU
96 6000 0.504761904761905 0 1.28633333333333 1UUU
97 7000 0.542857142857143 0 1.28633333333333 1UUU
98 8000 0.523809523809524 0 1.28633333333333 1UUU
99 9000 0.504761904761905 0 1.459 1UUU
100 10000 0.523809523809524 0 1.28633333333333 1UUU
311 1000 0.447619047619048 0.917 1.141 1PJY
312 2000 0.504761904761905 0.917 1.141 1PJY
313 3000 0.428571428571429 0.917 1.141 1PJY
314 4000 0.485714285714286 0.917 1.141 1PJY
315 5000 0.523809523809524 0.917 1.141 1PJY
316 6000 0.447619047619048 0.917 1.141 1PJY
317 7000 0.466666666666667 0 1.141 1PJY
318 8000 0.466666666666667 0.917 1.141 1PJY
319 9000 0.542857142857143 0.917 1.141 1PJY
320 10000 0.485714285714286 0.917 1.34233333333333 1PJY
361 1000 0.6 0 4.30566666666667 1R7W
362 2000 0.638095238095238 0 2.73933333333333 1R7W
363 3000 0.580952380952381 0 3.65866666666667 1R7W
364 4000 0.542857142857143 0 4.30566666666667 1R7W
365 5000 0.561904761904762 0 3.99633333333333 1R7W
366 6000 0.561904761904762 0 3.99633333333333 1R7W
367 7000 0.619047619047619 0 2.73933333333333 1R7W
368 8000 0.580952380952381 0 3.65866666666667 1R7W
369 9000 0.580952380952381 0 2.73933333333333 1R7W
370 10000 0.561904761904762 0 3.99633333333333 1R7W
401 1000 0.485714285714286 2.223 3.46866666666667 1LC6
402 2000 0.504761904761905 3.71 1.73 1LC6
403 3000 0.6 3.71 1.97766666666667 1LC6
404 4000 0.466666666666667 3.71 3.216 1LC6
405 5000 0.466666666666667 3.71 3.216 1LC6
406 6000 0.421057451293024 3.71 1.97766666666667 1LC6
407 7000 0.371428571428571 3.71 3.216 1LC6
408 8000 0.428571428571429 0 2.72766666666667 1LC6
409 9000 0.428571428571429 3.71 1.97766666666667 1LC6
410 10000 0.371428571428571 3.71 3.216 1LC6
461 1000 0.295238095238095 4.11 3.639 1LDZ
462 2000 0.238095238095238 4.11 3.639 1LDZ
463 3000 0.371428571428571 4.11 1.704 1LDZ
464 4000 0.485714285714286 4.11 3.305 1LDZ
465 5000 0.523809523809524 4.11 3.305 1LDZ
466 6000 0.390476190476191 4.11 1.91333333333333 1LDZ
467 7000 0.390476190476191 4.11 3.305 1LDZ
468 8000 0.219047619047619 4.11 4.40666666666667 1LDZ
469 9000 0.352380952380952 4.11 3.305 1LDZ
470 10000 0.352380952380952 0 4.35866666666667 1LDZ
471 1000 0.485714285714286 0.733 0.728333333333333 2LDL
472 2000 0.333333333333333 0.733 2.21766666666667 2LDL
473 3000 0.638095238095238 0 2.21766666666667 2LDL
474 4000 0.466666666666667 0 2.21766666666667 2LDL
475 5000 0.428571428571429 0.733 2.21766666666667 2LDL
