iters cors rmsds mean_rmsd id
527 7000 0.219047619047619 3.856 4.11433333333333 1YSV
528 8000 0.257142857142857 3.856 4.11433333333333 1YSV
529 9000 0.276190476190476 3.856 4.11433333333333 1YSV
530 10000 0.276190476190476 3.856 4.11433333333333 1YSV
531 1000 0.580952380952381 0 2.01733333333333 2KOC
532 2000 0.619047619047619 0 0.506333333333333 2KOC
533 3000 0.6 0 0.506333333333333 2KOC
534 4000 0.619047619047619 0 0.506333333333333 2KOC
535 5000 0.6 0 0.506333333333333 2KOC
536 6000 0.619047619047619 0 0.506333333333333 2KOC
537 7000 0.6 0 0.506333333333333 2KOC
538 8000 0.6 0 0.506333333333333 2KOC
539 9000 0.6 0 0.506333333333333 2KOC
540 10000 0.580952380952381 1.013 0.506333333333333 2KOC
571 1000 -0.219047619047619 0 5.11266666666667 1Z2J
572 2000 -0.2 0 6.76766666666667 1Z2J
573 3000 -0.428571428571429 8.113 11.5056666666667 1Z2J
574 4000 -0.390476190476191 8.113 11.5056666666667 1Z2J
575 5000 -0.142857142857143 0 7.44233333333333 1Z2J
576 6000 -0.447619047619048 8.113 11.5056666666667 1Z2J
577 7000 -0.257142857142857 0 7.44233333333333 1Z2J
578 8000 -0.0285714285714286 0 3.04533333333333 1Z2J
579 9000 -0.104761904761905 0 3.04533333333333 1Z2J
580 10000 -0.0857142857142857 8.113 3.04533333333333 1Z2J
581 1000 0.604395604395604 5.53 4.29333333333333 2L3E
582 2000 0.56043956043956 5.53 3.01 2L3E
583 3000 0.472527472527473 5.53 4.73833333333333 2L3E
584 4000 0.450549450549451 5.53 4.24533333333333 2L3E
585 5000 0.428571428571429 5.53 4.73833333333333 2L3E
586 6000 0.406593406593407 5.53 5.02166666666667 2L3E
587 7000 0.538461538461538 5.53 2.75333333333333 2L3E
588 8000 0.450549450549451 5.53 5.02166666666667 2L3E
589 9000 0.406593406593407 5.53 5.02166666666667 2L3E
590 10000 0.56043956043956 5.53 4.73833333333333 2L3E
