"model","nuc","r","rsquare","RMSE","MAE"
1,"","0.999838132692224","0.999676291585473","0.826025490064453","0.441574803149606"
2,"","0.999766376761424","0.999532808102665","1.00710272838068","0.487637795275591"
3,"","0.99971867078145","0.99943742070903","1.10313190507754","0.51488188976378"
4,"","0.999762086763849","0.999524230130407","1.01211519371776","0.523385826771654"
5,"","0.999820809972136","0.999641652053338","0.884233731169867","0.458110236220473"
6,"","0.999587157873812","0.999174486186246","1.31825074980828","0.692204724409449"
7,"","0.999731848599262","0.999463769103698","1.07364013971456","0.495354330708661"
8,"","0.999723384400799","0.999446845317789","1.07898464957373","0.588976377952756"
9,"","0.99977781271994","0.999555674807068","0.977019410827573","0.508188976377953"
10,"","0.999763841105005","0.999527737981033","1.0086132992389","0.517165354330708"
11,"","0.999749840046656","0.999499742673315","1.04266013517364","0.538582677165354"
