"model","nuc","r","rsquare","RMSE","MAE"
1,"C","0.998625769448318","0.997253427406246","1.32274531653444","0.972413793103448"
2,"C","0.998334019153975","0.996670813800129","1.44456902258665","0.8"
3,"C","0.99814253893037","0.996288528022365","1.54080102434097","0.971186440677966"
4,"C","0.998087126258272","0.996177911602496","1.53931527811028","0.949152542372881"
5,"C","0.998741318588834","0.997484221456563","1.28247641799445","0.793220338983051"
6,"C","0.997084145626668","0.994176793460063","1.90836694762293","1.34067796610169"
7,"C","0.998510132116129","0.997022483938569","1.38502891115881","0.701694915254237"
8,"C","0.998055871800956","0.996115523236367","1.56074732208318","1.09491525423729"
9,"C","0.998179794335861","0.996362901820381","1.50625813170321","1.01694915254237"
10,"C","0.99808068924715","0.996165062248067","1.55786685969706","1.03220338983051"
11,"C","0.997876659899696","0.995757828372573","1.64358021775738","1.08813559322034"
