"model","nuc","r","rsquare","RMSE","MAE"
1,"C","0.999098024291487","0.998196862143153","1.07151089272127","0.650847457627119"
2,"C","0.998563702447812","0.997129467846282","1.36617739622865","0.715254237288136"
3,"C","0.998636663546767","0.997275185779818","1.32811833248576","0.7"
4,"C","0.998494875291201","0.996992015982791","1.4170870097564","0.810169491525425"
5,"C","0.998909528718158","0.997820246563932","1.2089356573982","0.727118644067797"
6,"C","0.997708303127262","0.995421858129081","1.70989146250846","1.09830508474576"
7,"C","0.998194846789074","0.996392952156264","1.53826889276247","0.754237288135593"
8,"C","0.997564674308775","0.995135279428773","1.75856258713796","1.22033898305085"
9,"C","0.998335704952663","0.996674179783331","1.46020662573162","0.847457627118643"
10,"C","0.998193409233965","0.996390082238126","1.51947805489979","0.864406779661017"
11,"C","0.99819645353176","0.996396159843383","1.52920717244956","0.862711864406779"
