"model","nuc","r","rsquare","RMSE","MAE"
1,"H","0.976331622723213","0.953223437529342","0.273705509411764","0.188529411764706"
2,"H","0.962141222233462","0.9257157315209","0.343419225882714","0.230735294117647"
3,"H","0.975087718271839","0.950796058324581","0.281623444879652","0.201176470588235"
4,"H","0.966967393962911","0.935025940987423","0.32305071537745","0.21"
5,"H","0.971861459461391","0.944514696386426","0.298710463788048","0.198676470588235"
6,"H","0.960369885204015","0.922310316406772","0.351285454563999","0.251029411764706"
7,"H","0.967980245767139","0.936985756195411","0.31885825727946","0.215882352941176"
8,"H","0.954914820883125","0.911862315142251","0.374114641127399","0.255294117647059"
9,"H","0.970243788986777","0.941373010067417","0.308380494538427","0.216911764705882"
10,"H","0.968834581649688","0.938640446600325","0.315366266986406","0.219117647058824"
11,"H","0.972082092150512","0.944943593879717","0.297704452732018","0.199852941176471"
