"model","nuc","r","rsquare","RMSE","MAE"
1,"H","0.980356233902025","0.961098345350561","0.249505393080932","0.161764705882353"
2,"H","0.963284542778068","0.927917110355151","0.339865890505964","0.208823529411765"
3,"H","0.972486733597242","0.945730447022634","0.297155633613491","0.193382352941176"
4,"H","0.96284502889469","0.927070549667216","0.34058556841382","0.212794117647059"
5,"H","0.970926556430745","0.942698377982464","0.304080097807063","0.193235294117647"
6,"H","0.965547813474496","0.932282580105379","0.327939198094797","0.213823529411765"
7,"H","0.968792364810767","0.938558646115638","0.314946307282032","0.194117647058824"
8,"H","0.958551458150358","0.918820897922178","0.35918003023226","0.233088235294118"
9,"H","0.971734767414527","0.944268458202165","0.301037421945785","0.196764705882353"
10,"H","0.973172697579241","0.947065099313657","0.293595860685679","0.187794117647059"
11,"H","0.969081159672295","0.939118294031801","0.316982556580753","0.203088235294118"
