"model","nuc","r","rsquare","RMSE","MAE"
1,"H","0.976574250381441","0.953697266508074","0.27115222553349","0.171470588235294"
2,"H","0.961091398207806","0.923696675709035","0.349322874413107","0.218529411764706"
3,"H","0.973864228565851","0.948411535680159","0.289444193544232","0.183088235294118"
4,"H","0.956874008152771","0.915607867478349","0.36567021465024","0.228529411764706"
5,"H","0.965176214052881","0.931565124173452","0.329487123733056","0.223235294117647"
6,"H","0.96418814249702","0.929658774131853","0.334039448181164","0.211764705882353"
7,"H","0.96511119147842","0.931439611916895","0.33068333884282","0.2075"
8,"H","0.951266977002084","0.904908861534684","0.388802838285452","0.263529411764706"
9,"H","0.9682109752359","0.937432492567252","0.316067286209384","0.201323529411765"
10,"H","0.968377505525642","0.937754993208064","0.317307143836081","0.211617647058823"
11,"H","0.967793028102223","0.936623345243271","0.319951742684829","0.220147058823529"
