iters cors rmsds mean_rmsd id
463 3000 0.0285714285714286 4.11 7.89033333333333 1LDZ
464 4000 0.104761904761905 4.11 3.305 1LDZ
465 5000 0.104761904761905 4.11 3.305 1LDZ
466 6000 0.0857142857142857 4.11 4.90166666666667 1LDZ
467 7000 0.0857142857142857 4.11 6.29366666666667 1LDZ
468 8000 0.00952380952380952 4.11 6.29366666666667 1LDZ
469 9000 -0.0285714285714286 4.11 6.29366666666667 1LDZ
470 10000 -0.00952380952380952 8.966 4.35866666666667 1LDZ
471 1000 0.466666666666667 0.733 0.728333333333333 2LDL
472 2000 0.314285714285714 0.733 3.669 2LDL
473 3000 0.523809523809524 0 2.21766666666667 2LDL
474 4000 0.40952380952381 5.92 2.21766666666667 2LDL
475 5000 0.485714285714286 5.92 2.70166666666667 2LDL
476 6000 0.504761904761905 0.733 2.70166666666667 2LDL
477 7000 0.390476190476191 5.92 2.70166666666667 2LDL
478 8000 0.485714285714286 5.92 2.70166666666667 2LDL
479 9000 0.428571428571429 0.733 2.70166666666667 2LDL
480 10000 0.485714285714286 0.733 2.70166666666667 2LDL
491 1000 0.161904761904762 4.317 5.517 1NC0
492 2000 0.523809523809524 0.845 2.19133333333333 1NC0
493 3000 0.390476190476191 4.317 2.91433333333333 1NC0
494 4000 0.371428571428571 3.581 2.91433333333333 1NC0
495 5000 0.466666666666667 3.581 2.91433333333333 1NC0
496 6000 0.390476190476191 3.581 2.19133333333333 1NC0
497 7000 0.542857142857143 3.581 2.91433333333333 1NC0
498 8000 0.447619047619048 4.317 2.91433333333333 1NC0
499 9000 0.6 0.845 2.91433333333333 1NC0
500 10000 0.428571428571429 0.845 2.91433333333333 1NC0
511 1000 0.771428571428572 0 0.74 1OW9
512 2000 0.80952380952381 0 0.74 1OW9
513 3000 0.790476190476191 0 0.74 1OW9
514 4000 0.847619047619048 0 0.74 1OW9
515 5000 0.790476190476191 0 0.74 1OW9
516 6000 0.80952380952381 0 0.74 1OW9
517 7000 0.866666666666667 0 0.74 1OW9
518 8000 0.771428571428572 0 0.74 1OW9
519 9000 0.790476190476191 0 0.74 1OW9
520 10000 0.80952380952381 0 0.74 1OW9
521 1000 0.847619047619048 0 0.769 1YSV
522 2000 0.771428571428572 0.771 0.769 1YSV
523 3000 0.828571428571429 0 0.769 1YSV
524 4000 0.771428571428572 0 0.769 1YSV
525 5000 0.80952380952381 0 0.769 1YSV
526 6000 0.80952380952381 0 0.769 1YSV
527 7000 0.752380952380952 0 0.769 1YSV
528 8000 0.771428571428572 0 0.769 1YSV
529 9000 0.771428571428572 0 1.28566666666667 1YSV
530 10000 0.733333333333333 0.771 1.28566666666667 1YSV
531 1000 0.504761904761905 0 0.506333333333333 2KOC
532 2000 0.580952380952381 0.506 0.506333333333333 2KOC
533 3000 0.504761904761905 0.506 0.506333333333333 2KOC
534 4000 0.561904761904762 1.013 0.506333333333333 2KOC
535 5000 0.580952380952381 0 0.506333333333333 2KOC
536 6000 0.523809523809524 0.506 0.506333333333333 2KOC
537 7000 0.504761904761905 0 0.506333333333333 2KOC
538 8000 0.485714285714286 1.013 0.506333333333333 2KOC
539 9000 0.523809523809524 1.013 0.506333333333333 2KOC
540 10000 0.561904761904762 1.013 0.506333333333333 2KOC
571 1000 0.523809523809524 1.023 1.03766666666667 1Z2J
572 2000 0.390476190476191 0 2.50566666666667 1Z2J
573 3000 0.371428571428571 0 2.50566666666667 1Z2J
574 4000 0.390476190476191 1.023 2.84666666666667 1Z2J
575 5000 0.580952380952381 1.023 1.03766666666667 1Z2J
576 6000 -0.0285714285714286 4.667 5.39466666666667 1Z2J
577 7000 0.180952380952381 0 3.36466666666667 1Z2J
578 8000 0.638095238095238 1.023 1.03766666666667 1Z2J
579 9000 0.371428571428571 1.023 1.89666666666667 1Z2J
580 10000 0.352380952380952 1.023 1.89666666666667 1Z2J
581 1000 0.648351648351648 1.79 0.91 2L3E
582 2000 0.604395604395604 1.79 0.91 2L3E
583 3000 0.538461538461538 1.79 1.76333333333333 2L3E
584 4000 0.626373626373626 1.79 1.76333333333333 2L3E
585 5000 0.582417582417582 1.79 1.76333333333333 2L3E
586 6000 0.450549450549451 1.79 1.76333333333333 2L3E
587 7000 0.494505494505495 1.79 1.76333333333333 2L3E
588 8000 0.494505494505495 1.79 1.76333333333333 2L3E
589 9000 0.450549450549451 2.56 1.76333333333333 2L3E
590 10000 0.450549450549451 1.79 1.76333333333333 2L3E
