iters cors rmsds mean_rmsd id
465 5000 -0.104761904761905 7.354 7.11533333333333 1LDZ
466 6000 -0.0857142857142857 7.354 5.51433333333333 1LDZ
467 7000 0.0476190476190476 7.354 7.365 1LDZ
468 8000 -0.00952380952380952 7.354 7.11533333333333 1LDZ
469 9000 0.0666666666666667 7.354 7.11533333333333 1LDZ
470 10000 0.0476190476190476 7.354 6.55033333333333 1LDZ
471 1000 -0.0666666666666667 4.354 6.54566666666667 2LDL
472 2000 -0.104761904761905 4.354 4.59633333333333 2LDL
473 3000 -0.00952380952380952 2.175 3.629 2LDL
474 4000 -0.0285714285714286 7.26 5.81933333333333 2LDL
475 5000 -0.0285714285714286 8.023 5.81933333333333 2LDL
476 6000 0.0857142857142857 1.452 3.629 2LDL
477 7000 -0.0666666666666667 7.26 3.629 2LDL
478 8000 -0.0857142857142857 7.26 5.81933333333333 2LDL
479 9000 0.00952380952380952 7.26 4.84366666666667 2LDL
480 10000 0.0285714285714286 7.26 3.629 2LDL
491 1000 -0.295238095238095 7.903 5.5 1NC0
492 2000 -0.2 10.086 6.23233333333333 1NC0
493 3000 0.00952380952380952 2.148 5.75466666666667 1NC0
494 4000 0.0666666666666667 5.03 5.75466666666667 1NC0
495 5000 0.00952380952380952 10.086 6.71233333333333 1NC0
496 6000 -0.238095238095238 7.903 6.71233333333333 1NC0
497 7000 0.0857142857142857 10.086 5.75466666666667 1NC0
498 8000 -0.0857142857142857 10.086 5.75466666666667 1NC0
499 9000 -0.123809523809524 10.086 5.75466666666667 1NC0
500 10000 -0.0666666666666667 10.086 5.75466666666667 1NC0
511 1000 0.142857142857143 4.796 4.355 1OW9
512 2000 0.504761904761905 0 1.16433333333333 1OW9
513 3000 0.314285714285714 0.77 2.75633333333333 1OW9
514 4000 0.333333333333333 0 1.16433333333333 1OW9
515 5000 0.352380952380952 3.42 3.63966666666667 1OW9
516 6000 0.40952380952381 0 3.63966666666667 1OW9
517 7000 0.314285714285714 0 2.75633333333333 1OW9
518 8000 0.428571428571429 0 1.39666666666667 1OW9
519 9000 0.40952380952381 0 2.04766666666667 1OW9
520 10000 0.276190476190476 0 2.75633333333333 1OW9
521 1000 -0.371428571428571 4.615 5.88833333333333 1YSV
522 2000 -0.276190476190476 4.615 7.69266666666667 1YSV
523 3000 -0.390476190476191 4.615 6.92533333333333 1YSV
524 4000 -0.257142857142857 6.951 7.451 1YSV
525 5000 -0.257142857142857 5.374 7.704 1YSV
526 6000 -0.123809523809524 6.951 7.451 1YSV
527 7000 -0.40952380952381 4.615 5.64666666666667 1YSV
528 8000 -0.238095238095238 6.951 5.64666666666667 1YSV
529 9000 -0.447619047619048 4.615 7.451 1YSV
530 10000 -0.161904761904762 4.615 5.64666666666667 1YSV
531 1000 0.0285714285714286 2.473 1.65266666666667 2KOC
532 2000 -0.0285714285714286 3.992 3.40433333333333 2KOC
533 3000 0.219047619047619 1.979 2.159 2KOC
534 4000 0.314285714285714 3.992 1.837 2KOC
535 5000 0.238095238095238 1.013 2.58 2KOC
536 6000 0.2 0.506 2.186 2KOC
537 7000 0.314285714285714 1.013 1.837 2KOC
538 8000 0.123809523809524 1.013 1.837 2KOC
539 9000 0.257142857142857 1.013 2.58 2KOC
540 10000 0.123809523809524 1.013 2.58 2KOC
571 1000 -0.238095238095238 7.225 7.498 1Z2J
572 2000 -0.238095238095238 3.958 8.08733333333333 1Z2J
573 3000 -0.352380952380952 3.958 8.10966666666667 1Z2J
574 4000 -0.142857142857143 3.958 5.75766666666667 1Z2J
